30,job,marital,education,no,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,y
30,entrepreneur,single,primary,no,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no,no
30,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes,yes
30,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes,yes
30,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no,no
30,technician,single,secondary,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no,no
30,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes,yes
30,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no,no
30,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no,no
30,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no,no
30,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no,no
30,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no,no
30,technician,single,secondary,no,1208.285714,no,no,cellular,15,aug,277.5714286,0.857142857,-9.142857143,-0.142857143,unknown,no,no
30,technician,married,tertiary,no,1181,yes,no,cellular,14.46428571,jun,285.5714286,0.678571429,-13.21428571,-0.214285714,other,yes,yes
30,blue-collar,married,secondary,no,1153.714286,yes,no,cellular,13.92857143,jul,293.5714286,0.5,-17.28571429,-0.285714286,unknown,no,no
30,admin.,married,secondary,no,1126.428571,yes,no,telephone,13.39285714,jul,301.5714286,0.321428571,-21.35714286,-0.357142857,unknown,no,no
30,management,married,secondary,no,1099.142857,no,yes,telephone,12.85714286,feb,309.5714286,0.142857143,-25.42857143,-0.428571429,unknown,no,no
30,self-employed,single,tertiary,no,1071.857143,no,no,cellular,12.32142857,nov,317.5714286,-0.035714286,-29.5,-0.5,unknown,no,no
30,retired,single,secondary,no,1044.571429,yes,yes,unknown,11.78571429,may,325.5714286,-0.214285714,-33.57142857,-0.571428571,unknown,no,no
30,technician,single,secondary,no,1017.285714,no,no,cellular,11.25,aug,333.5714286,-0.392857143,-37.64285714,-0.642857143,unknown,no,no
30,technician,married,tertiary,no,990,yes,no,cellular,10.71428571,jun,341.5714286,-0.571428571,-41.71428571,-0.714285714,other,yes,yes
30,blue-collar,married,secondary,no,962.7142857,yes,no,cellular,10.17857143,jul,349.5714286,-0.75,-45.78571429,-0.785714286,unknown,no,no
30,retired,single,secondary,no,935.428569,yes,yes,unknown,9.64285713,may,357.5714286,-0.92857143,-49.85714285,-0.857142859,unknown,no,no
30,technician,single,secondary,no,908.142854,no,no,cellular,9.10714284,aug,365.5714286,-1.107142859,-53.92857142,-0.928571431,unknown,no,no
30,technician,married,tertiary,no,880.857139,yes,no,cellular,8.57142855,jun,373.5714286,-1.285714288,-57.99999999,-1.000000003,other,yes,yes
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
30,blue-collar,married,secondary,no,962.7142857,yes,no,cellular,10.17857143,jul,349.5714286,-0.75,-45.78571429,-0.785714286,unknown,no,no
30,retired,single,secondary,no,935.428569,yes,yes,unknown,9.64285713,may,357.5714286,-0.92857143,-49.85714285,-0.857142859,unknown,no,no
30,technician,single,secondary,no,908.142854,no,no,cellular,9.10714284,aug,365.5714286,-1.107142859,-53.92857142,-0.928571431,unknown,no,no
30,technician,married,tertiary,no,880.857139,yes,no,cellular,8.57142855,jun,373.5714286,-1.285714288,-57.99999999,-1.000000003,other,yes,yes
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
30,blue-collar,married,secondary,no,853.571424,yes,no,cellular,8.03571426,jul,381.5714286,-1.464285717,-62.07142856,-1.071428575,unknown,no,no
